"date","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90+","critical","severe","deaths","casesTot"
2020-03-28,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,6
2020-03-29,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
2020-03-30,0,1,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6
2020-03-31,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,5
2020-04-01,0,0,0,0,1,1,1,0,1,1,1,1,2,0,0,0,0,0,0,0,2,0,9
2020-04-02,0,0,2,2,1,3,1,2,2,0,0,0,3,1,2,1,2,0,0,0,2,0,22
2020-04-03,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,7
2020-04-04,0,0,0,0,1,1,2,1,2,1,0,2,0,1,0,0,1,0,0,0,2,0,12
2020-04-05,0,0,0,0,0,0,1,1,1,2,0,1,1,0,0,0,0,0,0,0,0,1,7
2020-04-06,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,2,0,5
2020-04-07,1,0,0,0,1,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,2,1,8
2020-04-08,0,0,0,0,5,4,5,3,6,1,4,1,0,1,0,0,1,0,0,0,3,0,31
2020-04-09,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,6
2020-04-10,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,4
2020-04-11,0,1,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,6
2020-04-12,0,0,0,0,0,0,1,2,1,1,0,0,0,1,1,0,0,0,0,0,0,1,7
2020-04-13,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,7
2020-04-14,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-04-15,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3
2020-04-16,0,0,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,8
